Driver Name,Season
haryanto,2016
hulkenberg,2016
kvyat,2016
kevin_magnussen,2016
massa,2016
nasr,2016
ocon,2016
jolyon_palmer,2016
perez,2016
raikkonen,2016
ricciardo,2016
rosberg,2016
sainz,2016
vandoorne,2016
max_verstappen,2016
vettel,2016
wehrlein,2016
alonso,2017
bottas,2017
button,2017
resta,2017
ericsson,2017
gasly,2017
giovinazzi,2017
grosjean,2017
hamilton,2017
brendon_hartley,2017
hulkenberg,2017
kvyat,2017
kevin_magnussen,2017
massa,2017
ocon,2017
jolyon_palmer,2017
perez,2017
raikkonen,2017
ricciardo,2017
sainz,2017
stroll,2017
vandoorne,2017
max_verstappen,2017
vettel,2017
wehrlein,2017
alonso,2018
bottas,2018
ericsson,2018
gasly,2018
grosjean,2018
hamilton,2018
brendon_hartley,2018
hulkenberg,2018
leclerc,2018
kevin_magnussen,2018
ocon,2018
perez,2018
raikkonen,2018
ricciardo,2018
sainz,2018
sirotkin,2018
stroll,2018
vandoorne,2018
max_verstappen,2018
vettel,2018
albon,2019
bottas,2019
gasly,2019
giovinazzi,2019
grosjean,2019
hamilton,2019
hulkenberg,2019
kubica,2019
kvyat,2019
leclerc,2019
kevin_magnussen,2019
norris,2019
perez,2019
raikkonen,2019
ricciardo,2019
russell,2019
sainz,2019
stroll,2019
max_verstappen,2019
vettel,2019
aitken,2020
albon,2020
bottas,2020
pietro_fittipaldi,2020
gasly,2020
giovinazzi,2020
grosjean,2020
hamilton,2020
hulkenberg,2020
kvyat,2020
latifi,2020
leclerc,2020
kevin_magnussen,2020
norris,2020
ocon,2020
perez,2020
raikkonen,2020
ricciardo,2020
russell,2020
sainz,2020
stroll,2020
max_verstappen,2020
vettel,2020
alonso,2021
bottas,2021
gasly,2021
giovinazzi,2021
hamilton,2021
kubica,2021
latifi,2021
leclerc,2021
mazepin,2021
norris,2021
ocon,2021
perez,2021
raikkonen,2021
ricciardo,2021
russell,2021
sainz,2021
mick_schumacher,2021
stroll,2021
tsunoda,2021
max_verstappen,2021
vettel,2021
albon,2022
alonso,2022
bottas,2022
de_vries,2022
gasly,2022
hamilton,2022
hulkenberg,2022
latifi,2022
leclerc,2022
kevin_magnussen,2022
norris,2022
ocon,2022
perez,2022
ricciardo,2022
russell,2022
sainz,2022
mick_schumacher,2022
stroll,2022
tsunoda,2022
max_verstappen,2022
vettel,2022
zhou,2022
albon,2023
alonso,2023
bottas,2023
de_vries,2023
gasly,2023
hamilton,2023
hulkenberg,2023
lawson,2023
leclerc,2023
kevin_magnussen,2023
norris,2023
ocon,2023
perez,2023
piastri,2023
ricciardo,2023
russell,2023
sainz,2023
sargeant,2023
stroll,2023
tsunoda,2023
max_verstappen,2023
zhou,2023
albon,2024
alonso,2024
antonelli,2024
bearman,2024
bottas,2024
colapinto,2024
doohan,2024
gasly,2024
hamilton,2024
hulkenberg,2024
lawson,2024
leclerc,2024
kevin_magnussen,2024
norris,2024
ocon,2024
perez,2024
piastri,2024
ricciardo,2024
russell,2024
sainz,2024
sargeant,2024
stroll,2024
tsunoda,2024
max_verstappen,2024
zhou,2024
